order_id,order_date,supplier_name,product_name,carrier,warehouse,country,quantity,unit_price,status,delay_days,stock_level,reorder_point,revenue,total_amount
ORD-1222,2024-01-01,Rift Valley Suppliers,Chemical Compounds,Siginon Logistics,Kisumu,Uganda,340,239.88,Delivered,13,714,198,81559.2,81559.2
ORD-1197,2024-01-02,Mombasa Trading Co,Office Supplies,G4S Logistics,Kisumu,Kenya,246,171.85,Delivered,13,303,81,42275.1,42275.1
ORD-1373,2024-01-02,Lake Region Trading,Office Supplies,G4S Logistics,Mombasa,Ethiopia,170,185.66,Delivered,0,553,198,31562.2,31562.2
ORD-1037,2024-01-04,East Africa Logistics,Machinery Parts,Kenya Airways Cargo,Kisumu,Rwanda,58,176.38,Delivered,0,11,183,10230.04,10230.04
ORD-1284,2024-01-04,Dar es Salaam Imports,Raw Cotton,G4S Logistics,Nairobi,Ethiopia,139,208.69,Delivered,1,140,69,29007.91,29007.91
ORD-1476,2024-01-05,Pan-Africa Distributors,Chemical Compounds,Siginon Logistics,Nairobi,Uganda,332,137.25,Cancelled,15,499,184,45567.0,45567.0
ORD-1449,2024-01-05,Kenya Procurement Co,Machinery Parts,Siginon Logistics,Mombasa,Rwanda,181,31.14,Shipped,14,541,66,5636.34,5636.34
ORD-1181,2024-01-06,Kenya Procurement Co,Industrial Bearings,Kenya Airways Cargo,Eldoret,Ethiopia,355,150.01,Cancelled,2,776,175,53253.55,53253.55
ORD-1358,2024-01-08,Pan-Africa Distributors,Chemical Compounds,DHL,Mombasa,Ethiopia,149,62.85,Delivered,0,553,52,9364.65,9364.65
ORD-1226,2024-01-10,Mombasa Trading Co,Packaging Material,FedEx,Kisumu,Rwanda,240,87.24,Delivered,12,788,153,20937.6,20937.6
ORD-1278,2024-01-11,Kampala Wholesale,Electronic Components,DHL,Eldoret,Rwanda,494,190.46,Processing,13,171,107,94087.24,94087.24
ORD-1002,2024-01-13,Pan-Africa Distributors,Industrial Bearings,Kenya Airways Cargo,Kisumu,Tanzania,358,178.68,Delivered,2,203,199,63967.44,63967.44
ORD-1023,2024-01-14,Nairobi Supplies Ltd,Machinery Parts,FedEx,Eldoret,Ethiopia,353,210.54,Processing,0,19,69,74320.62,74320.62
ORD-1017,2024-01-16,Rift Valley Suppliers,Raw Cotton,Kenya Airways Cargo,Kisumu,Rwanda,369,146.82,Shipped,0,881,122,54176.58,54176.58
ORD-1016,2024-01-17,Global Freight KE,Packaging Material,DHL,Eldoret,Kenya,109,11.77,Delivered,0,915,63,1282.93,1282.93
ORD-1291,2024-01-17,Nairobi Supplies Ltd,Raw Cotton,G4S Logistics,Kisumu,Uganda,256,122.61,Delivered,5,904,160,31388.16,31388.16
ORD-1125,2024-01-17,Kampala Wholesale,Medical Supplies,Siginon Logistics,Eldoret,Rwanda,24,184.25,Delivered,0,687,154,4422.0,4422.0
ORD-1424,2024-01-21,East Africa Logistics,Medical Supplies,FedEx,Nairobi,Tanzania,47,242.16,Delivered,15,661,107,11381.52,11381.52
